Model,port_diversity,syn_behaviour,rst_behaviour,rate_behaviour,timing_iat_behaviour,destination_diversity
B1_ZeroChange,0.0538,0.0795,0.0296,0.0003,0.0000,UNAVAILABLE
B2_Persistence,0.3122,0.3152,0.3078,0.3498,0.3294,UNAVAILABLE
B3_EWMA,0.3241,0.3019,0.3397,0.3457,0.3454,UNAVAILABLE
B4_AR_style,0.6251,0.6277,0.6543,0.6455,0.6884,UNAVAILABLE
B5_Ridge,0.6369,0.6209,0.6582,0.6070,0.7020,UNAVAILABLE
B6_GBDT,0.5653,0.6062,0.6372,0.5370,0.6940,UNAVAILABLE
