model,history_depth,ar_order,total_valid_forecasts,availability_rate,wed_directional_accuracy,wed_normalized_mae,wed_normalized_rmse,thu_directional_accuracy
AR(3),4,3,6752,0.7815,0.668,12.6573,491.2772,0.666
AR(5),6,5,6727,0.7786,0.6864,12.2284,461.8532,0.6822
