Representation,Block_ID,Block_Name,Cohens_d,Overlap,Mean_Diff,CI_95_Lower,CI_95_Upper
Fam2_NormAccel_flow_count,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.0043,0.9134,0.0439,-0.3438,0.3567
Fam2_NormAccel_byte_rate,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.0021,0.9269,-0.055,-0.7066,0.5914
Fam2_NormAccel_byte_rate,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.0397,0.9873,-6.4434,-12.5551,0.1972
Fam2_NormAccel_byte_rate,block-3-thu,Thursday Block 3 (02:00 - 03:36),-0.0077,0.9439,-0.1695,-0.3331,0.1959
Fam2_NormAccel_byte_rate,block-4-thu,Thursday Block 4 (09:57 - 10:54),-0.0091,0.9478,-0.2397,-0.6921,0.3732
Fam3_Burst_dst_port_run_length,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.0114,0.9923,-0.0052,-0.0722,0.0516
Fam3_Burst_dst_port_run_length,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.022,0.991,0.0102,-0.0511,0.0888
Fam3_Burst_dst_port_run_length,block-3-thu,Thursday Block 3 (02:00 - 03:36),-0.0656,0.9783,-0.0291,-0.0776,0.0245
Fam3_Burst_dst_port_run_length,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.0015,0.9778,0.0007,-0.07,0.0838
Fam3_Burst_flow_run_length,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.0575,0.9788,0.0349,-0.055,0.0873
Fam3_Burst_flow_run_length,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.0183,0.9914,0.0111,-0.084,0.1557
Fam3_Burst_flow_run_length,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.1159,0.9597,0.0736,-0.0283,0.176
Fam3_Burst_flow_run_length,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.0383,0.9855,0.0232,-0.0599,0.1197
Fam3_Burst_byte_run_length,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.0677,0.9731,0.053,-0.0553,0.1721
Fam3_Burst_byte_run_length,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.0118,0.9752,0.0094,-0.1119,0.1658
Fam3_Burst_byte_run_length,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.1517,0.9446,0.1282,-0.0029,0.2699
Fam3_Burst_byte_run_length,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.0234,0.9773,0.018,-0.0868,0.1384
Fam3_Burst_flow_duty_cycle,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.1644,0.76,0.0117,-0.0115,0.0358
Fam3_Burst_flow_duty_cycle,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.0251,0.7968,-0.002,-0.0372,0.0467
Fam3_Burst_flow_duty_cycle,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.4279,0.7809,0.0338,0.0022,0.074
Fam3_Burst_flow_duty_cycle,block-4-thu,Thursday Block 4 (09:57 - 10:54),-0.0119,0.8339,-0.0009,-0.0308,0.0393
Fam3_Burst_byte_duty_cycle,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.1764,0.8376,0.0158,-0.0209,0.0535
Fam3_Burst_byte_duty_cycle,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.1909,0.7903,-0.0181,-0.0567,0.0415
Fam3_Burst_byte_duty_cycle,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.4544,0.786,0.0422,0.0057,0.0842
Fam3_Burst_byte_duty_cycle,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.1345,0.827,0.0124,-0.0318,0.0657
Fam3_Burst_flow_quiet_duration,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.1728,0.9202,-0.7564,-1.7262,0.0442
Fam3_Burst_flow_quiet_duration,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.049,0.9502,0.2274,-1.1202,1.6315
Fam3_Burst_flow_quiet_duration,block-3-thu,Thursday Block 3 (02:00 - 03:36),-0.3041,0.8987,-1.2737,-2.2563,-0.4566
Fam3_Burst_flow_quiet_duration,block-4-thu,Thursday Block 4 (09:57 - 10:54),-0.0353,0.9421,-0.1617,-1.5126,1.3767
Fam4_Sync_flow_byte,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.0606,0.9195,-0.3149,-0.9947,0.5899
Fam4_Sync_flow_byte,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.0238,0.9357,0.327,-0.9745,1.2886
Fam4_Sync_flow_byte,block-3-thu,Thursday Block 3 (02:00 - 03:36),-0.0598,0.9099,-0.2904,-0.7902,0.1923
Fam4_Sync_flow_byte,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.0692,0.8725,0.4212,-1.1086,1.2832
Fam4_Sync_flow_iat,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.1457,0.8057,-0.2953,-0.4171,-0.0531
Fam4_Sync_flow_iat,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.0928,0.83,-0.2005,-0.4269,0.0649
Fam4_Sync_flow_iat,block-3-thu,Thursday Block 3 (02:00 - 03:36),-0.1771,0.8224,-0.349,-0.5601,-0.108
Fam4_Sync_flow_iat,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.0254,0.8628,0.0554,-0.3434,0.2742
Fam4_Sync_flow_rst,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.4625,0.8355,-0.6083,-0.8639,-0.2735
Fam4_Sync_flow_rst,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.5465,0.7971,-0.8056,-0.9302,-0.4993
Fam4_Sync_flow_rst,block-3-thu,Thursday Block 3 (02:00 - 03:36),-0.1719,0.8928,-0.2158,-0.4708,-0.0166
Fam4_Sync_flow_rst,block-4-thu,Thursday Block 4 (09:57 - 10:54),-0.3074,0.8888,-0.4373,-0.8034,-0.0724
Fam4_Sync_Mahalanobis_Vector,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.1333,0.9764,1.477,0.0271,2.7083
Fam4_Sync_Mahalanobis_Vector,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.0168,0.9796,0.1519,-0.5274,0.9858
Fam4_Sync_Mahalanobis_Vector,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.0173,0.9814,0.1556,-0.6682,0.7319
Fam4_Sync_Mahalanobis_Vector,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.1243,0.9691,1.3126,0.1148,2.3594
Fam5_Res_Norm_Euclidean,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.1091,0.9753,89.1223,-106.5625,418.4212
Fam5_Res_Norm_Euclidean,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.1046,0.9813,-61.2793,-166.351,3.4805
Fam5_Res_Norm_Euclidean,block-3-thu,Thursday Block 3 (02:00 - 03:36),-0.1153,0.9768,-65.1716,-164.9056,1.9541
Fam5_Res_Norm_Euclidean,block-4-thu,Thursday Block 4 (09:57 - 10:54),-0.0138,0.9761,-8.6832,-140.3003,64.7375
Fam5_Res_dst_port_diversity,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.0007,0.7752,-0.0728,-4.8479,7.9723
Fam5_Res_dst_port_diversity,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.0655,0.8089,-6.8344,-8.7794,4.8301
Fam5_Res_dst_port_diversity,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.0023,0.9324,0.1689,-2.9073,2.9938
Fam5_Res_dst_port_diversity,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.0006,0.8134,0.0638,-4.6518,7.4639
Fam5_Res_flow_count,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.0083,0.6229,-2.1152,-12.242,15.9849
Fam5_Res_flow_count,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.0534,0.6207,-15.4408,-23.1155,13.3776
Fam5_Res_flow_count,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.0038,0.8401,0.7782,-6.4983,8.1327
Fam5_Res_flow_count,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.0025,0.8302,0.7075,-12.1359,17.4943
Fam5_Res_byte_rate,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.0001,0.9397,-84.5142,-20549.4632,21209.6424
Fam5_Res_byte_rate,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.0005,0.9265,-307.2568,-18528.6275,18003.3237
Fam5_Res_byte_rate,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.0003,0.9903,204.247,-17513.8171,18204.743
Fam5_Res_byte_rate,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.0002,0.981,153.2467,-20553.8296,18656.8967
Fam5_Res_iat_mean,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.0028,0.6014,-0.0121,-0.0854,0.0799
Fam5_Res_iat_mean,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.0035,0.5233,-0.0144,-0.0808,0.0649
Fam5_Res_iat_mean,block-3-thu,Thursday Block 3 (02:00 - 03:36),-0.0082,0.6327,-0.0333,-0.0939,0.0582
Fam5_Res_iat_mean,block-4-thu,Thursday Block 4 (09:57 - 10:54),-0.0056,0.7323,-0.0246,-0.1454,0.0793
Fam5_Res_Delta_Alignment,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.0122,0.9898,-0.0112,-0.1116,0.1044
Fam5_Res_Delta_Alignment,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.028,0.9814,0.0257,-0.0476,0.1288
Fam5_Res_Delta_Alignment,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.0374,0.9807,0.0343,-0.0452,0.1089
Fam5_Res_Delta_Alignment,block-4-thu,Thursday Block 4 (09:57 - 10:54),-0.0483,0.9738,-0.0446,-0.1312,0.0568
