Window_Index,OLD_STATIC,PORT_DYNAMIC,MULTI_SIGNAL
185,0.6828,0.6828,0.6828
186,0.3902,0.3443,0.3443
187,0.3902,0.3443,0.3443
188,0.4131,0.4131,0.4131
189,0.6828,0.6828,0.6828
190,0.3902,0.3443,0.3443
191,0.3443,0.4131,0.4131
192,0.3443,0.6828,0.6828
193,0.3902,0.3443,0.3443
194,0.3443,0.1463,0.1463
195,0.3443,0.1463,0.1463
196,0.2525,0.1463,0.1463
197,0.6828,0.6828,0.6828
198,0.3443,0.1463,0.1463
199,0.3902,0.2525,0.2525
200,0.3443,0.6828,0.6828
201,0.3902,0.2525,0.2525
202,0.3902,0.2525,0.2525
203,0.3902,0.2525,0.2525
204,0.4131,0.4131,0.4131
205,0.3902,0.2525,0.2525
206,0.3443,0.1463,0.1463
207,0.3902,0.2525,0.2525
208,0.3902,0.3443,0.3443
209,0.1836,0.1463,0.1463
210,0.3902,0.2525,0.2525
211,0.3902,0.2525,0.2525
212,0.1836,0.1463,0.1463
213,0.3902,0.2525,0.2525
214,0.3443,0.1463,0.1463
215,0.3902,0.2525,0.2525
216,0.2525,0.1463,0.1463
217,0.2525,0.1463,0.1463
218,0.2525,0.1463,0.1463
219,0.3902,0.2525,0.2525
220,0.2525,0.1463,0.1463
221,0.2525,0.1463,0.1463
222,0.1836,0.1463,0.1463
223,0.3902,0.2525,0.2525
224,0.2525,0.1463,0.5967
225,0.6828,0.6828,0.6828
226,0.5967,0.5967,0.5967
227,0.5967,0.5967,0.5967
228,0.3902,0.3443,0.3443
229,0.3443,0.3443,0.3443
230,0.3902,0.2525,0.2525
231,0.3902,0.2525,0.2525
232,0.2525,0.1463,0.1463
233,0.2525,0.1463,0.1463
234,0.2525,0.1463,0.1463
235,0.1836,0.1463,0.1463
236,0.3443,0.1463,0.1463
237,0.1836,0.1836,0.1836
238,0.2525,0.1463,0.1463
239,0.3443,0.3443,0.3443
240,0.3902,0.3443,0.3443
241,0.2525,0.1463,0.1463
242,0.4131,0.4131,0.4131
243,0.2525,0.4131,0.4131
244,0.3443,0.4131,0.4131
245,0.3443,0.1463,0.1463
246,0.3443,0.1463,0.1463
247,0.3902,0.2525,0.2525
248,0.3443,0.1463,0.1463
249,0.3902,0.3443,0.3443
250,0.3902,0.3443,0.3443
251,0.1836,0.1463,0.1463
252,0.3443,0.1463,0.1463
253,0.2525,0.1463,0.1463
254,0.2525,0.1463,0.1463
255,0.3902,0.2525,0.2525
256,0.3902,0.2525,0.2525
257,0.1836,0.1463,0.1463
258,0.2525,0.1463,0.1463
259,0.2525,0.1463,0.1463
260,0.3902,0.2525,0.2525
261,0.3902,0.2525,0.2525
262,0.1836,0.1836,0.1463
263,0.2525,0.1463,0.1463
264,0.2525,0.2525,0.2525
265,0.2525,0.1463,0.1463
266,0.3443,0.3443,0.3443
267,0.3902,0.2525,0.2525
268,0.1836,0.1836,0.1463
269,0.2525,0.1463,0.1463
270,0.2525,0.1463,0.1463
271,0.2525,0.1463,0.1463
272,0.2525,0.1463,0.1463
273,0.3902,0.2525,0.2525
274,0.3902,0.2525,0.2525
275,0.2525,0.1463,0.1463
276,0.3902,0.2525,0.2525
277,0.2525,0.1463,0.1463
278,0.2525,0.1463,0.1463
279,0.2525,0.1463,0.1463
280,0.2525,0.1463,0.1463
281,0.2525,0.1463,0.1463
282,0.1836,0.1463,0.1463
283,0.2525,0.1463,0.1463
284,0.2525,0.1463,0.1463
285,0.2525,0.1463,0.1463
286,0.3902,0.2525,0.2525
287,0.1836,0.1836,0.1463
288,0.2525,0.1463,0.1463
289,0.2525,0.1463,0.1463
290,0.2525,0.1463,0.1463
291,0.2525,0.1463,0.1463
292,0.3902,0.2525,0.2525
293,0.2525,0.1463,0.1463
294,0.6828,0.6828,0.6828
295,0.2525,0.2525,0.2525
296,0.2525,0.1463,0.1463
297,0.2525,0.1463,0.1463
298,0.1836,0.1836,0.1836
299,0.3902,0.2525,0.2525
300,0.2525,0.1463,0.1463
301,0.2525,0.2525,0.2525
302,0.1836,0.1836,0.1836
303,0.3443,0.2525,0.1463
304,0.3443,0.2525,0.1463
305,0.1836,0.1836,0.1836
306,0.3443,0.2525,0.1463
307,0.3902,0.3443,0.3443
308,0.1836,0.1836,0.1836
309,0.3902,0.2525,0.2525
310,0.3902,0.2525,0.2525
311,0.2525,0.1463,0.1463
312,0.3902,0.2525,0.2525
313,0.3902,0.2525,0.2525
314,0.1836,0.1463,0.1463
315,0.3443,0.1463,0.1463
316,0.2525,0.1463,0.1463
317,0.1836,0.1463,0.1463
318,0.3902,0.2525,0.2525
319,0.3902,0.5967,0.5967
320,0.3902,0.5967,0.5967
321,0.3902,0.5967,0.5967
322,0.2525,0.1463,0.1463
323,0.1836,0.1463,0.1463
324,0.2525,0.1463,0.1463
325,0.2525,0.1463,0.1463
326,0.2525,0.1463,0.1463
327,0.2525,0.4131,0.4131
328,0.6828,0.6828,0.6828
329,0.2525,0.4131,0.4131
330,0.3902,0.3443,0.3443
331,0.3443,0.3443,0.3443
332,0.3443,0.3443,0.3443
333,0.3902,0.2525,0.2525
334,0.1836,0.1463,0.1463
335,0.6828,0.6828,0.6828
336,0.1836,0.1836,0.1463
337,0.3902,0.2525,0.2525
338,0.6828,0.6828,0.6828
339,0.3902,0.2525,0.2525
340,0.4131,0.4131,0.4131
341,0.3902,0.6828,0.6828
342,0.3902,0.3443,0.3443
343,0.3443,0.1463,0.1463
344,0.3902,0.2525,0.2525
345,0.4131,0.4131,0.4131
346,0.3902,0.2525,0.2525
347,0.1836,0.1463,0.1463
348,0.3902,0.3443,0.3443
349,0.3443,0.3443,0.3443
350,0.1836,0.1836,0.1463
351,0.3902,0.2525,0.2525
352,0.1836,0.1463,0.1463
353,0.3902,0.2525,0.2525
354,0.3902,0.6828,0.6828
355,0.6828,0.6828,0.6828
356,0.3443,0.6828,0.6828
357,0.3902,0.3443,0.3443
358,0.3443,0.4877,0.4877
359,0.3902,0.2525,0.2525
360,0.3902,0.2525,0.2525
361,0.3902,0.2525,0.2525
362,0.1836,0.1463,0.1463
363,0.3443,0.3443,0.3443
364,0.3902,0.2525,0.2525
365,0.6828,0.6828,0.6828
366,0.2525,0.1463,0.1463
367,0.1836,0.1463,0.1463
368,0.3443,0.3443,0.3443
369,0.2525,0.2525,0.2525
370,0.3902,0.2525,0.2525
371,0.1836,0.1463,0.1463
372,0.3902,0.2525,0.2525
373,0.2525,0.1463,0.1463
374,0.3902,0.2525,0.2525
375,0.3902,0.2525,0.2525
376,0.2525,0.1463,0.1463
377,0.1836,0.1463,0.1463
378,0.2525,0.1463,0.1463
379,0.1463,0.1463,0.1463
380,0.2525,0.1463,0.1463
381,0.1836,0.1463,0.1463
382,0.3443,0.1463,0.1463
383,0.6828,0.6828,0.6828
384,0.3902,0.2525,0.2525
385,0.3443,0.3443,0.3443
386,0.3902,0.2525,0.2525
387,0.2525,0.1463,0.1463
388,0.3443,0.1463,0.1463
389,0.1836,0.1836,0.1463
390,0.2525,0.2525,0.2525
391,0.2525,0.2525,0.2525
392,0.3443,0.1463,0.1463
393,0.3443,0.1463,0.1463
394,0.3902,0.2525,0.2525
395,0.2525,0.1463,0.1463
396,0.2525,0.1463,0.4131
397,0.3902,0.2525,0.2525
398,0.1836,0.1836,0.1463
399,0.3902,0.2525,0.2525
400,0.1836,0.1836,0.1463
401,0.3902,0.2525,0.2525
402,0.3902,0.2525,0.2525
403,0.3443,0.3443,0.3443
404,0.3902,0.2525,0.2525
405,0.3902,0.2525,0.2525
406,0.1836,0.1463,0.1463
407,0.1836,0.1463,0.1463
408,0.2525,0.1463,0.1463
409,0.2525,0.1463,0.1463
410,0.2525,0.1463,0.1463
411,0.3902,0.2525,0.2525
412,0.2525,0.1463,0.1463
413,0.6828,0.6828,0.6828
414,0.3902,0.2525,0.2525
415,0.3902,0.2525,0.2525
416,0.1836,0.1463,0.1463
417,0.3902,0.2525,0.2525
418,0.3902,0.3443,0.3443
419,0.2525,0.1463,0.1463
420,0.3902,0.2525,0.2525
421,0.2525,0.1463,0.1463
422,0.2525,0.1463,0.1463
423,0.3902,0.2525,0.2525
424,0.1836,0.1463,0.1463
425,0.1836,0.1836,0.1463
426,0.6828,0.6828,0.6828
427,0.3902,0.6828,0.6828
428,0.3902,0.2525,0.2525
429,0.3902,0.3443,0.3443
430,0.3443,0.1463,0.1463
431,0.3902,0.2525,0.2525
432,0.2525,0.1463,0.1463
433,0.3902,0.2525,0.2525
434,0.2525,0.1463,0.1463
435,0.3443,0.6828,0.6828
436,0.1836,0.1463,0.1463
437,0.1836,0.1463,0.1463
438,0.3902,0.2525,0.2525
439,0.2525,0.1463,0.1463
440,0.3443,0.1463,0.1463
441,0.3902,0.2525,0.2525
442,0.1836,0.1836,0.1463
443,0.3443,0.1463,0.1463
444,0.3443,0.1463,0.1463
445,0.3902,0.2525,0.2525
446,0.3902,0.3443,0.3443
447,0.3443,0.1463,0.1463
448,0.3902,0.2525,0.2525
449,0.3902,0.2525,0.2525
450,0.2525,0.2525,0.2525
451,0.1836,0.1463,0.1463
452,0.3443,0.1463,0.1463
453,0.1836,0.1463,0.1463
454,0.2525,0.1463,0.1463
455,0.2525,0.1463,0.1463
456,0.3902,0.2525,0.2525
457,0.3902,0.2525,0.2525
458,0.3902,0.2525,0.2525
459,0.6828,0.6828,0.6828
460,0.2525,0.1463,0.1463
461,0.2525,0.1463,0.1463
462,0.2525,0.1463,0.1463
463,0.3902,0.2525,0.2525
464,0.2525,0.4877,0.4877
465,0.2525,0.1463,0.1463
466,0.6828,0.6828,0.6828
467,0.6828,0.6828,0.6828
468,0.4131,0.4131,0.4131
469,0.3443,0.5967,0.5967
470,0.3902,0.3443,0.3443
471,0.3902,0.2525,0.2525
472,0.3902,0.2525,0.2525
473,0.2525,0.1463,0.1463
474,0.2525,0.1463,0.1463
475,0.2525,0.1463,0.1463
476,0.2525,0.1463,0.1463
477,0.1836,0.1836,0.1836
478,0.1836,0.1836,0.1463
479,0.3902,0.2525,0.2525
480,0.3902,0.2525,0.2525
481,0.3902,0.3443,0.3443
482,0.3443,0.1463,0.1463
483,0.4131,0.4131,0.4131
484,0.3443,0.1463,0.1463
485,0.1836,0.1463,0.1463
486,0.1836,0.1463,0.1463
487,0.3443,0.6828,0.6828
488,0.3902,0.2525,0.2525
489,0.3443,0.1463,0.1463
490,0.3902,0.3443,0.3443
491,0.3902,0.2525,0.2525
492,0.3443,0.4877,0.4877
493,0.3902,0.2525,0.2525
494,0.3902,0.2525,0.2525
495,0.3902,0.2525,0.2525
496,0.3902,0.2525,0.2525
