Window_Index,OLD_STATIC,PORT_DYNAMIC,MULTI_SIGNAL
162,0.2525,0.1463,0.1463
163,0.3902,0.2525,0.2525
164,0.3902,0.6828,0.6828
165,0.6828,0.6828,0.6828
166,0.6828,0.6828,0.6828
167,0.3902,0.3443,0.3443
168,0.3902,0.3443,0.3443
169,0.3902,0.3443,0.3443
170,0.3902,0.3443,0.3443
171,0.3902,0.3443,0.3443
172,0.3902,0.2525,0.5967
173,0.2525,0.1463,0.1463
174,0.2525,0.4131,0.4131
175,0.6828,0.6828,0.6828
176,0.4131,0.4131,0.4131
177,0.2525,0.1463,0.1463
178,0.3902,0.3443,0.3443
179,0.3902,0.3443,0.3443
180,0.3902,0.3443,0.3443
181,0.8291,0.8291,0.8291
182,0.3902,0.3902,0.8291
183,0.3902,0.3443,0.3443
184,0.3902,0.3443,0.3443
185,0.3902,0.3443,0.3443
186,0.3902,0.3902,0.3443
187,0.6828,0.6828,0.6828
188,0.3902,0.2525,0.2525
189,0.3902,0.3443,0.3443
190,0.3902,0.3443,0.3443
191,0.3443,0.1463,0.1463
192,0.3902,0.2525,0.2525
193,0.2525,0.1463,0.1463
194,0.1836,0.1463,0.1463
195,0.3902,0.2525,0.2525
196,0.3902,0.2525,0.2525
197,0.3443,0.1463,0.1463
198,0.3902,0.2525,0.2525
199,0.3443,0.1463,0.1463
200,0.2525,0.1463,0.1463
201,0.2525,0.1463,0.1463
202,0.2525,0.1463,0.1463
203,0.2525,0.1463,0.1463
204,0.3443,0.1463,0.1463
205,0.3902,0.2525,0.2525
206,0.3902,0.2525,0.2525
207,0.3902,0.2525,0.2525
208,0.3443,0.1463,0.1463
209,0.3902,0.2525,0.2525
210,0.2525,0.1463,0.1463
211,0.3902,0.2525,0.2525
212,0.2525,0.1463,0.1463
213,0.2525,0.1463,0.1463
214,0.2525,0.1463,0.1463
215,0.2525,0.4131,0.4131
216,0.3902,0.2525,0.2525
217,0.2525,0.4131,0.4131
218,0.2525,0.1463,0.1463
219,0.2525,0.2525,0.2525
220,0.2525,0.1463,0.1463
221,0.2525,0.1463,0.1463
222,0.2525,0.1463,0.1463
223,0.2525,0.1463,0.1463
224,0.6828,0.6828,0.6828
225,0.1836,0.1463,0.5967
226,0.3902,0.2525,0.2525
227,0.2525,0.4877,0.4877
228,0.3902,0.2525,0.2525
229,0.5967,0.5967,0.5967
