Horizon,Composite_Trust,Trust_Level,Normalized_Interval_Width,Historical_Error
1,0.2000,LOW,26.8785,187.0073
2,0.0800,INSUFFICIENT,87.6142,187.1210
3,0.0500,INSUFFICIENT,96.7724,186.3133
