p,Raw_MAE,Raw_RMSE,Normalized_MAE,Median_Normalized_MAE,Directional_Accuracy,Directional_Accuracy_Nonzero
1,5586181137.054255,266862367698.945984,175.016487,0.414298,0.6418,0.6556
2,5697391499.021115,266998822481.937500,178.466062,0.407272,0.6620,0.6762
3,5668797481.840395,265710062152.138947,177.556305,0.407311,0.6728,0.6873
4,5860181161.924287,264290663535.472321,183.522186,0.408069,0.6782,0.6928
5,6015775423.294755,263037222437.996307,188.367791,0.405169,0.6810,0.6956
